Local,Dirección,Departamento,Dirección corrregida,Latitud,Longitud,Estado
Farmashop N°3,Av. Rivera 2755 ,Montevideo ,"2755 Avenida General Rivera, Uruguay",-34.903055,-56.155128,success
Farmashop N°31,Av. Artigas 539 ,Canelones,"Artigas, Uruguay",-34.525622,-56.280533,success
Farmashop N°32,Cno. Carrasco 4471 ,Montevideo ,"4471 Camino Carrasco, Uruguay",-34.872447,-56.122138,success
Farmashop N°33,8 de Octubre 3788 ,Montevideo ,"3780,3782,3784,3786,3788 Avenida 8 de Octubre, Uruguay",-34.874978,-56.140082,success
Farmashop N°34,8 de Octubre 4002 ,Montevideo ,"4002 Avenida 8 de Octubre, Uruguay",-34.872251,-56.135681,success
Farmashop N°35,Av. Artigas 1068,Canelones,"Artigas, Uruguay",-34.525622,-56.280533,success
Farmashop N°37,8 de Octubre 3439,Montevideo ,"3431,3433,3435,3437,3439,3435 BIS Avenida 8 de Octubre, Uruguay",-34.878739,-56.147247,success
Farmashop N°38,Av. Sarmiento 2445 ,Montevideo ,"2445 Av Sarmiento, Uruguay",-34.914469,-56.160274,success
Farmashop N°39,Av. Brasil 2711,Montevideo ,"2711 Av Brasil, Uruguay",-34.908394,-56.155406,success
Farmashop N°40,Gabriel Pereira 3209,Montevideo ,"3209 Gabriel Pereira, Uruguay",-34.909904,-56.147173,success
Farmashop N°42,Av. Luis P. Ponce 1507 ,Montevideo ,"1507 Avenida Ingeniero Luis P Ponce, Uruguay",-34.900137,-56.159602,success
Farmashop N°43,18 de Julio 1331,Montevideo ,"1331,1333,1335 Avenida 18 de Julio, Uruguay",-34.905489,-56.187325,success
Farmashop N°44,Gral. Flores 3315 ,Montevideo ,"3315 Avenida General Flores, Uruguay",-34.867451,-56.172335,success
Farmashop N°46,Arocena 1554 ,Montevideo ,"1554 Avenida Alfredo Arocena, Uruguay",-34.890045,-56.056243,success
Farmashop N°47,Av. Italia 3428 ,Montevideo ,"3428 Av Italia, Uruguay",-34.88693,-56.141127,success
Farmashop N°48,Legrand 4856 ,Montevideo ,"4856 Av Enrique Legrand, Uruguay",-34.888422,-56.103234,success
Farmashop N°5,Agraciada 3655 ,Montevideo ,"3655 Avenida Agraciada, Uruguay",-34.865175,-56.209514,success
Farmashop N°50,Br. España 2188 ,Montevideo ,"2180,2184,2188 Bulevar España, Uruguay",-34.909169,-56.168904,success
Farmashop N°51,Orinoco 4893 ,Montevideo ,"4893 Orinoco, Uruguay",-34.895707,-56.101915,success
Farmashop N°52,20 de setiembre 1525 ,Montevideo ,"1525 20 De Setiembre, Uruguay",-34.900196,-56.162654,success
Farmashop N°53,Ramon Anador 3401 ,Montevideo ,"3401 Avenida Ramon Anador, Uruguay",-34.895387,-56.142978,success
Farmashop N°55/OM,18 de Julio 1951,Montevideo ,"1951,1953,1955 Avenida 18 de Julio, Uruguay",-34.900865,-56.173669,success
Farmashop N°56,Francisco J. Muñoz 2951 ,Montevideo ,"2951 Francisco Joaquin Muñoz, Uruguay",-34.906836,-56.150077,success
Farmashop N°57,Rivera 3500 ,Montevideo ,"3500 Avenida General Rivera, Uruguay",-34.901418,-56.138725,success
Farmashop N°58,Av. Italia 3815,Montevideo ,"3815 Av Italia, Uruguay",-34.886602,-56.129834,success
Farmashop N°59,Av.Italia 3949 ,Montevideo ,"3949 Avenida Italia, Uruguay",-34.886675,-56.126327,success
Farmashop N°6,Av. Italia 6958 ,Montevideo ,"6958 Av Italia, Uruguay",-34.87765,-56.057584,success
Farmashop N°60,Av. Brasil 2494 ,Montevideo ,"2494 Av Brasil, Uruguay",-34.907166,-56.160096,success
Farmashop N°61,Av. Agraciada 4104 ,Montevideo ,"4104 Av Agraciada, Uruguay",-34.858236,-56.21755,success
Farmashop N°62,Bvar. Artigas 1475,Montevideo ,"1475,1477,1479 Bulevar General Artigas, Uruguay",-34.90151,-56.164466,success
Farmashop N°64,Peatonal Sarandí 508,Montevideo ,"508 Sarandi, Uruguay",-34.907494,-56.204667,success
Farmashop N°68,Av. Italia 2839 ,Montevideo ,"2839 Av Italia, Uruguay",-34.890539,-56.153204,success
Farmashop N°69,Av. L. B. Berres 6149 ,Montevideo ,"6149 Avenida Luis Batlle Berres, Uruguay",-34.838825,-56.26274,success
Farmashop N°70,Uruguayana 3501 ,Montevideo ,"3501 Uruguayana, Uruguay",-34.869874,-56.20939,success
Farmashop N°72,Cno. Ariel 4926 ,Montevideo ,"4926 Cno Ariel, Uruguay",-34.83296,-56.217458,success
Farmashop N°73,Gral. Paz 1447,Montevideo ,"1447 Avenida General Jose Maria Paz, Uruguay",-34.893068,-56.080134,success
Farmashop N°77/OM,Arocena 1980 ,Montevideo ,"1980 Avenida Alfredo Arocena, Uruguay",-34.88135,-56.060918,success
Farmashop N°78,Alberdi 6502,Montevideo ,"6502 Avenida Doctor Juan Bautista Alberdi, Uruguay",-34.88027,-56.066609,success
Farmashop N°8,26 de Marzo 1393,Montevideo ,"1393 26 De Marzo, Uruguay",-34.907393,-56.145747,success
Farmashop N°88,Fco. Solano López 1665,Montevideo ,"1665 Avenida Mariscal Francisco Solano Lopez, Uruguay",-34.892073,-56.125256,success
